gene	03	y_pred	errerr
ftsY	1	1	1
spsK	1	1	1
tsf	1	1	1
rpoC	2	2	2
parE	2	2	2
fabZ	3	3	3
rpsO	4	4	4
plsC	5	5	5
rpmA	6	6	6
rplT	8	8	8
dfrA	9	9	9
rplD	9	9	9
adk	9	9	9
trmU	9	9	9
obg	13	13	13
rpsJ	13	13	13
tagF	14	14	14
fbaA	14	14	14
ydiB	14	14	14
rplNA	14	14	14
fusA	14	14	14
rpsF	15	15	15
rpsR	15	15	15
fabG	17	17	17
rplU	17	17	17
rpsK	17	17	17
rplL	19	19	19
mraY	24	24	24
nusA	25	25	25
sigA	26	26	26
dxs	26	26	26
gpsA	26	26	26
rplO	29	29	29
infB	29	29	29
rpsL	29	29	29
yqhY	30	30	30
ftsZ	31	31	31
walR	31	31	31
gatA	32	32	32
rpsB	33	33	33
plsY	41	41	41
rplP	41	41	41
accD	41	41	41
rpsD	41	41	41
accA	41	41	41
divIC	41	41	41
rpsH	42	42	42
lysS	43	43	43
rpoB	44	44	44
dnaB	46	46	46
ftsA	46	46	46
engA	47	47	47
rplC	49	49	49
nrdI	50	50	50
pbpB	52	52	52
rpmC	52	52	52
rpsE	53	53	53
rpsM	59	59	59
rpsI	64	64	64
ysxB	67	67	67
parC	67	67	67
gatC	68	68	68
tufA	68	68	68
pgsA	68	68	68
tkt	68	68	68
rplB	69	69	69
fabD	70	70	70
murE	70	70	70
valS	70	70	70
ffh	71	71	71
pheT	72	72	72
murG	74	74	74
yneF	75	75	75
leuS	75	75	75
murC	76	76	76
metS	77	77	77
rplV	79	79	79
ydiP	79	79	79
tagG	79	79	79
rplR	81	81	81
rpsC	81	81	81
gltX	82	82	82
rplW	82	82	82
rplF	83	83	83
cdsA	83	83	83
aspS	83	83	83
ftsL	83	83	83
dnaI	83	83	83
rpsS	85	85	85
rpsG	87	87	87
ydiO	88	88	88
infA	88	88	88
rplM	88	88	88
tagD	90	90	90
cmk	90	90	90
polC	92	92	92
rpsQ	93	93	93
serS	95	95	95
rplE	95	95	95
rplX	96	96	96
yxxG	98	98	98
pheS	99	99	99
dnaE	100	100	100
rpsP	102	102	102
prs	102	102	102
accC	103	103	103
plsX	106	106	106
ssbA	108	108	108
murD	111	111	111
secY	112	112	112
glyS	114	114	114
dnaG	119	119	119
rpmD	120	120	120
trxB	121	121	121
rpsNA	121	121	121
rplQ	122	122	122
rplJ	122	122	122
proS	122	122	122
cysS	126	126	126
alrA	127	127	127
hisS	127	127	127
ddl	127	127	127
gcaD	128	128	128
tagH	130	130	130
acpA	132	132	132
infC	134	134	134
rplS	138	138	138
gmk	138	138	138
patA	140	140	140
tagA	143	143	143
tmk	145	145	145
alaS	145	145	145
murAA	146	146	146
dnaX	146	146	146
pyrG	148	148	148
argS	148	148	148
mreD	150	150	150
ribC	150	150	150
secE	150	150	150
fabF	151	151	151
uppS	152	152	152
yumC	153	153	153
dapF	154	154	154
asd	154	154	154
racE	155	155	155
dapL	155	155	155
glyQ	155	155	155
nrdE	156	156	156
murB	158	158	158
ileS	158	158	158
secA	159	159	159
dapA	160	160	160
dnaC	160	160	160
glmM	160	160	160
dapH	163	163	163
dnaA	163	163	163
dapG	164	164	164
dxr	165	165	165
rodA	165	165	165
glmS	166	166	166
murF	170	170	170
mreB	175	175	175
dapB	175	175	175
mreC	178	178	178
