gene	03	y_pred	errerr
spsK	0.061	0.011	0.002
rpmC	-0.419	-0.389	0.018
ydiB	-0.387	-0.378	0.024
parE	-0.948	-0.779	0.029
rpmA	-0.358	-0.191	0.031
fbaA	-0.339	-0.293	0.031
gatA	-0.375	-0.422	0.032
rplNA	-0.269	-0.286	0.033
ffh	-0.331	-0.224	0.034
gpsA	-0.426	-0.407	0.035
pgsA	-0.288	-0.364	0.038
rplD	-0.115	-0.055	0.038
rpsP	-0.370	-0.392	0.039
nusA	-0.437	-0.406	0.042
rpsO	0.024	0.191	0.042
yneF	-0.306	-0.360	0.045
rpsC	-0.517	-0.486	0.046
rplQ	-0.279	-0.306	0.046
rplF	-0.411	-0.406	0.046
gatC	-0.312	-0.386	0.046
yumC	-0.307	-0.204	0.047
polC	-0.298	-0.319	0.048
rpsS	-0.346	-0.382	0.050
infB	-0.519	-0.598	0.052
rplO	-0.245	-0.263	0.053
rplM	-0.344	-0.240	0.055
secE	-0.292	-0.321	0.055
rplC	-0.152	-0.207	0.056
engA	-0.466	-0.323	0.056
rplW	-0.232	-0.250	0.057
obg	-0.590	-0.400	0.057
rpsD	-0.296	-0.371	0.058
rpsH	-0.634	-0.574	0.060
plsY	-0.311	-0.462	0.060
dxr	-0.204	-0.241	0.061
secY	-0.263	-0.381	0.061
ydiO	-0.337	-0.311	0.062
glyQ	-0.230	-0.268	0.062
rpmD	-0.340	-0.329	0.063
sigA	-0.683	-0.559	0.063
dnaE	-0.432	-0.415	0.063
rplP	-0.222	-0.327	0.064
pyrG	-0.286	-0.218	0.064
rplS	-0.408	-0.383	0.064
rplE	-0.481	-0.580	0.065
dnaG	-0.441	-0.358	0.066
yxxG	-0.564	-0.528	0.067
accA	-0.371	-0.477	0.067
pheT	-0.135	-0.317	0.068
parC	-0.312	-0.397	0.068
rplB	-0.261	-0.423	0.068
acpA	-0.377	-0.275	0.069
mreD	-0.251	-0.274	0.069
divIC	-0.224	-0.191	0.069
gltX	-0.246	-0.381	0.071
rpsB	-0.414	-0.463	0.071
proS	-0.307	-0.323	0.072
rpsK	-0.225	-0.177	0.073
dnaI	-0.209	-0.102	0.073
rpsE	-0.339	-0.528	0.074
ssbA	-0.240	-0.308	0.074
yqhY	-0.460	-0.276	0.076
rpsJ	-0.313	-0.231	0.077
tkt	-0.274	-0.170	0.077
ftsL	-0.395	-0.357	0.079
prs	-0.372	-0.458	0.080
plsX	-0.358	-0.358	0.081
gcaD	-0.157	-0.268	0.082
dnaC	-0.410	-0.394	0.082
infA	-0.319	-0.385	0.083
accD	-0.234	-0.377	0.084
rpsG	-0.288	-0.450	0.084
rpsF	-0.462	-0.376	0.084
rpsQ	-0.390	-0.329	0.085
alaS	-0.288	-0.303	0.085
mreC	-0.256	-0.316	0.086
rpoB	-0.322	-0.254	0.087
plsC	-0.219	0.071	0.087
secA	-0.340	-0.307	0.088
rplV	-0.241	-0.286	0.088
nrdI	-0.184	-0.158	0.088
dxs	-0.623	-0.630	0.089
leuS	-0.227	-0.112	0.089
tagA	-0.438	-0.458	0.090
dapL	-0.386	-0.319	0.090
dnaB	-0.313	-0.452	0.092
argS	-0.245	-0.296	0.093
dapB	-0.292	-0.384	0.093
valS	-0.195	-0.250	0.094
rplR	-0.170	-0.361	0.094
pheS	-0.076	-0.271	0.094
tmk	-0.379	-0.331	0.094
rpsM	-0.174	-0.210	0.094
trxB	-0.469	-0.302	0.099
alrA	-0.338	-0.373	0.099
mreB	-0.223	-0.326	0.100
dnaA	-0.223	-0.412	0.100
accC	-0.242	-0.339	0.101
rodA	-0.365	-0.428	0.102
ftsA	-0.361	-0.534	0.103
tagD	-0.392	-0.456	0.103
hisS	-0.190	-0.361	0.104
tagH	-0.358	-0.339	0.105
dnaX	-0.443	-0.445	0.106
nrdE	-0.450	-0.480	0.109
rplX	-0.269	-0.465	0.110
ysxB	-0.442	-0.284	0.110
serS	-0.259	-0.334	0.112
uppS	-0.435	-0.396	0.113
glmM	-0.348	-0.302	0.115
gmk	-0.273	-0.363	0.115
ydiP	-0.518	-0.374	0.115
rpsNA	-0.338	-0.411	0.119
murB	-0.195	-0.182	0.122
cmk	-0.492	-0.368	0.124
pbpB	-1.021	-0.734	0.126
rplU	-0.485	-0.337	0.126
fabD	-0.151	-0.407	0.127
dapG	-0.191	-0.401	0.128
lysS	-0.148	-0.362	0.128
dapF	-0.491	-0.343	0.129
dapH	-0.469	-0.392	0.129
rpoC	0.084	-0.280	0.133
asd	-0.485	-0.362	0.134
metS	-0.439	-0.555	0.134
racE	-0.319	-0.418	0.136
fabF	-0.317	-0.188	0.136
tufA	-0.449	-0.488	0.136
glmS	-0.356	-0.348	0.136
infC	-0.289	-0.389	0.137
fabG	-0.437	-0.191	0.138
aspS	-0.340	-0.329	0.139
glyS	-0.509	-0.258	0.141
rpsI	-0.346	-0.292	0.142
rplT	-0.364	-0.043	0.149
rpsR	-0.647	-0.524	0.149
tagF	-0.490	-0.256	0.150
dfrA	-0.509	-0.203	0.151
ftsZ	-0.831	-0.616	0.158
rplJ	-0.442	-0.360	0.161
ddl	-0.301	-0.449	0.164
ileS	-0.142	-0.389	0.164
dapA	-0.326	-0.367	0.164
murD	-0.320	-0.234	0.165
rpsL	-0.532	-0.403	0.170
tsf	-1.007	-0.593	0.172
murC	-0.234	-0.392	0.173
tagG	-0.571	-0.411	0.173
ribC	-0.219	-0.472	0.179
fusA	-0.330	-0.648	0.181
murAA	-0.224	-0.353	0.194
cysS	-0.473	-0.509	0.199
adk	-0.802	-0.462	0.200
murG	-0.249	-0.553	0.202
walR	-0.830	-0.441	0.206
trmU	-0.716	-0.280	0.219
murF	-0.289	-0.433	0.222
fabZ	-0.805	-0.325	0.243
patA	-0.596	-0.438	0.269
rplL	-0.608	-0.164	0.296
cdsA	-0.247	-0.421	0.301
mraY	-0.167	-0.486	0.373
murE	-0.307	-0.589	0.415
ftsY	-0.975	-0.237	0.544
