mm_brackets	03	y_pred	errerr
NT	0.292	0.169	0.075
GN	0.281	0.265	0.080
NA	0.205	0.134	0.084
NG	0.223	0.111	0.115
TC	0.396	0.272	0.115
GT	0.388	0.271	0.124
AC	0.366	0.251	0.134
CC	0.387	0.251	0.136
AN	0.267	0.254	0.139
CG	0.375	0.227	0.140
CA	0.348	0.222	0.142
AT	0.379	0.224	0.149
TG	0.404	0.255	0.149
GC	0.369	0.230	0.157
AG	0.377	0.230	0.158
GG	0.334	0.223	0.159
TT	0.394	0.235	0.161
GA	0.355	0.260	0.162
AA	0.376	0.245	0.163
TA	0.405	0.265	0.181
TN	0.280	0.203	0.192
CT	0.360	0.268	0.199
CN	0.341	0.227	0.217
NC	0.259	0.190	0.230
