gene	03	y_pred	errerr
ydiB	-0.387	-0.353	0.022
accD	-0.234	-0.313	0.028
gatC	-0.312	-0.356	0.033
plsC	-0.219	-0.425	0.045
gpsA	-0.426	-0.336	0.048
rpsM	-0.174	-0.346	0.053
rplQ	-0.279	-0.401	0.059
rplX	-0.269	-0.284	0.060
fbaA	-0.339	-0.245	0.064
rpmC	-0.419	-0.379	0.065
pgsA	-0.288	-0.276	0.065
rplW	-0.232	-0.359	0.068
rplT	-0.364	-0.355	0.069
rplNA	-0.269	-0.423	0.074
rpmA	-0.358	-0.393	0.076
gatA	-0.375	-0.418	0.078
engA	-0.466	-0.376	0.078
leuS	-0.227	-0.407	0.081
rplV	-0.241	-0.367	0.082
accA	-0.371	-0.278	0.086
plsY	-0.311	-0.319	0.087
rplB	-0.261	-0.429	0.087
rplF	-0.411	-0.321	0.087
rpsD	-0.296	-0.275	0.089
rpmD	-0.340	-0.326	0.090
gltX	-0.246	-0.315	0.091
rpsS	-0.346	-0.269	0.093
pheT	-0.135	-0.261	0.094
parC	-0.312	-0.302	0.095
rpsJ	-0.313	-0.380	0.096
infA	-0.319	-0.292	0.097
rplD	-0.115	-0.382	0.099
rpsNA	-0.338	-0.221	0.100
dapG	-0.191	-0.324	0.100
dfrA	-0.509	-0.296	0.102
rpsG	-0.288	-0.282	0.103
accC	-0.242	-0.362	0.104
fabD	-0.151	-0.299	0.104
rplM	-0.344	-0.335	0.107
tkt	-0.274	-0.436	0.107
ftsL	-0.395	-0.505	0.107
yqhY	-0.460	-0.387	0.110
argS	-0.245	-0.324	0.110
polC	-0.298	-0.207	0.111
secY	-0.263	-0.350	0.111
rpoC	0.084	-0.250	0.112
ssbA	-0.240	-0.358	0.112
dxr	-0.204	-0.266	0.112
gmk	-0.273	-0.433	0.114
rpsB	-0.414	-0.392	0.116
nusA	-0.437	-0.180	0.117
hisS	-0.190	-0.350	0.117
infB	-0.519	-0.258	0.117
acpA	-0.377	-0.295	0.118
rplP	-0.222	-0.353	0.118
rplC	-0.152	-0.462	0.118
rplS	-0.408	-0.445	0.119
mreC	-0.256	-0.309	0.124
dnaG	-0.441	-0.342	0.124
rpsP	-0.370	-0.392	0.126
rpsQ	-0.390	-0.326	0.129
gcaD	-0.157	-0.439	0.131
rpsE	-0.339	-0.171	0.132
mreB	-0.223	-0.345	0.132
plsX	-0.358	-0.308	0.132
pyrG	-0.286	-0.436	0.133
lysS	-0.148	-0.344	0.134
tagA	-0.438	-0.272	0.137
secE	-0.292	-0.235	0.140
rpsK	-0.225	-0.498	0.147
fabG	-0.437	-0.540	0.147
trxB	-0.469	-0.452	0.149
