mm_brackets	03	y_pred	errerr
NA	-0.093	-0.205	0.070
NG	-0.100	-0.291	0.087
NC	-0.077	-0.196	0.098
NT	-0.121	-0.227	0.114
CT	-0.314	-0.298	0.144
AC	-0.307	-0.280	0.148
CA	-0.260	-0.348	0.149
CG	-0.274	-0.378	0.150
AA	-0.278	-0.306	0.157
GC	-0.266	-0.402	0.158
GA	-0.295	-0.444	0.163
AT	-0.308	-0.300	0.164
AG	-0.292	-0.370	0.165
GG	-0.167	-0.375	0.165
CC	-0.353	-0.379	0.165
GT	-0.308	-0.315	0.167
TA	-0.331	-0.305	0.176
TC	-0.352	-0.342	0.178
TG	-0.354	-0.352	0.189
TT	-0.421	-0.292	0.197
CN	-0.761	-0.368	0.263
GN	-0.801	-0.359	0.290
TN	-0.811	-0.319	0.326
AN	-0.853	-0.340	0.336
