gene	03	y_pred	errerr
rplD	-0.115	-0.058	0.014
rpsO	0.024	0.045	0.015
rplC	-0.152	-0.093	0.046
rpsK	-0.225	-0.098	0.073
plsC	-0.219	0.058	0.079
ydiB	-0.387	-0.135	0.095
rpsM	-0.174	0.031	0.096
ssbA	-0.240	-0.130	0.097
rplB	-0.261	-0.131	0.097
gcaD	-0.157	-0.037	0.101
accD	-0.234	0.017	0.101
gatC	-0.312	-0.059	0.106
fabD	-0.151	-0.044	0.108
pheT	-0.135	-0.040	0.121
rplV	-0.241	-0.035	0.124
rplQ	-0.279	-0.034	0.128
hisS	-0.190	-0.077	0.135
lysS	-0.148	-0.052	0.136
dapG	-0.191	-0.113	0.139
pgsA	-0.288	-0.097	0.140
dxr	-0.204	-0.070	0.141
dnaA	-0.223	-0.036	0.142
rplR	-0.170	-0.076	0.148
plsY	-0.311	-0.075	0.152
gltX	-0.246	-0.067	0.156
rpsD	-0.296	-0.074	0.159
accA	-0.371	-0.091	0.159
rpsS	-0.346	-0.121	0.163
secY	-0.263	-0.054	0.164
tkt	-0.274	-0.034	0.164
rpmC	-0.419	-0.148	0.169
gmk	-0.273	-0.032	0.169
parC	-0.312	-0.116	0.170
rplW	-0.232	0.014	0.170
accC	-0.242	-0.034	0.170
ileS	-0.142	-0.050	0.171
murC	-0.234	-0.127	0.174
infA	-0.319	-0.046	0.177
gpsA	-0.426	-0.145	0.177
rpmA	-0.358	-0.473	0.177
pheS	-0.076	0.045	0.181
gatA	-0.375	-0.049	0.181
rplNA	-0.269	0.063	0.181
fbaA	-0.339	-0.011	0.181
rplX	-0.269	-0.038	0.187
leuS	-0.227	0.086	0.191
rpsG	-0.288	-0.096	0.191
dfrA	-0.509	-0.096	0.197
mreB	-0.223	-0.068	0.199
ribC	-0.219	-0.092	0.200
mraY	-0.167	-0.094	0.200
rplP	-0.222	-0.001	0.202
argS	-0.245	-0.006	0.203
serS	-0.259	-0.043	0.204
tagD	-0.392	-0.102	0.205
rpoC	0.084	-0.370	0.206
tagA	-0.438	-0.126	0.207
rpoB	-0.322	-0.108	0.214
fusA	-0.330	-0.107	0.217
divIC	-0.224	-0.031	0.217
spsK	0.061	-0.408	0.220
mreC	-0.256	-0.041	0.220
valS	-0.195	-0.018	0.223
polC	-0.298	-0.073	0.223
prs	-0.372	-0.119	0.224
rplT	-0.364	0.078	0.225
rplM	-0.344	-0.041	0.229
pyrG	-0.286	0.007	0.239
dnaB	-0.313	-0.036	0.239
rpsQ	-0.390	-0.033	0.242
rpsNA	-0.338	-0.087	0.242
murB	-0.195	-0.053	0.243
infC	-0.289	-0.044	0.247
rpmD	-0.340	0.005	0.249
rplO	-0.245	-0.036	0.249
alaS	-0.288	-0.068	0.252
dnaI	-0.209	0.044	0.252
yneF	-0.306	0.005	0.256
metS	-0.439	-0.150	0.257
glyQ	-0.230	-0.012	0.259
secE	-0.292	0.022	0.261
fabG	-0.437	-0.157	0.263
rpsP	-0.370	-0.072	0.264
cdsA	-0.247	-0.112	0.266
rpsJ	-0.313	0.053	0.270
rplF	-0.411	0.007	0.274
rpsE	-0.339	0.043	0.274
rplE	-0.481	-0.046	0.278
ftsL	-0.395	0.011	0.279
murF	-0.289	0.039	0.287
fabF	-0.317	0.008	0.287
rpsC	-0.517	-0.115	0.290
rpsB	-0.414	-0.066	0.296
nrdE	-0.450	-0.029	0.298
nusA	-0.437	0.029	0.298
infB	-0.519	-0.067	0.298
rpsI	-0.346	-0.071	0.298
dapL	-0.386	-0.093	0.298
aspS	-0.340	-0.037	0.299
murG	-0.249	-0.164	0.300
secA	-0.340	-0.027	0.301
ffh	-0.331	0.001	0.303
proS	-0.307	-0.031	0.303
plsX	-0.358	-0.016	0.304
tagH	-0.358	0.020	0.307
dnaC	-0.410	-0.084	0.308
rpsL	-0.532	-0.087	0.311
dxs	-0.623	-0.167	0.312
racE	-0.319	-0.032	0.318
murE	-0.307	-0.129	0.320
ftsA	-0.361	-0.080	0.320
dapB	-0.292	-0.110	0.324
murAA	-0.224	-0.111	0.325
nrdI	-0.184	-0.002	0.327
rplS	-0.408	-0.056	0.327
glmM	-0.348	-0.009	0.328
alrA	-0.338	-0.013	0.331
rplJ	-0.442	-0.073	0.333
murD	-0.320	-0.011	0.334
mreD	-0.251	-0.106	0.335
tagF	-0.490	0.005	0.335
glmS	-0.356	0.005	0.338
ddl	-0.301	-0.047	0.342
dapA	-0.326	-0.029	0.344
yumC	-0.307	-0.052	0.346
yqhY	-0.460	-0.036	0.347
ysxB	-0.442	0.008	0.352
tmk	-0.379	0.016	0.357
ydiO	-0.337	0.017	0.357
dnaG	-0.441	-0.060	0.361
dnaX	-0.443	-0.073	0.364
acpA	-0.377	0.039	0.366
dnaE	-0.432	-0.029	0.372
tufA	-0.449	-0.010	0.379
