mm_brackets	03	y_pred	errerr
NG	-0.100	-0.077	0.054
NA	-0.093	-0.033	0.056
NC	-0.077	-0.108	0.077
NT	-0.121	0.015	0.115
GG	-0.167	-0.197	0.138
AA	-0.278	-0.218	0.155
GC	-0.266	-0.202	0.157
GA	-0.295	-0.096	0.180
AC	-0.307	-0.085	0.197
AG	-0.292	-0.116	0.199
CA	-0.260	-0.005	0.208
CG	-0.274	-0.060	0.220
AT	-0.308	-0.054	0.232
CT	-0.314	-0.008	0.246
TC	-0.352	-0.065	0.247
GT	-0.308	-0.025	0.251
TG	-0.354	0.017	0.299
CC	-0.353	-0.005	0.303
TA	-0.331	0.050	0.332
TT	-0.421	0.037	0.380
GN	-0.801	0.076	0.848
TN	-0.811	0.094	0.898
CN	-0.761	0.118	0.917
AN	-0.853	0.083	0.958
