mm_trailing	03	y_pred	errerr
GG	-0.187	-0.091	0.161
GT	-0.245	-0.103	0.169
CC	-0.222	-0.107	0.169
AT	-0.258	-0.065	0.182
AA	-0.267	-0.083	0.185
TC	-0.263	-0.067	0.189
CA	-0.277	-0.034	0.199
CT	-0.346	-0.149	0.200
TG	-0.274	-0.031	0.203
AC	-0.269	-0.006	0.209
GC	-0.293	-0.126	0.210
CG	-0.283	-0.067	0.210
AG	-0.274	-0.101	0.232
GA	-0.283	-0.023	0.243
TA	-0.325	0.031	0.285
TT	-0.376	0.017	0.324
GN	-0.576	0.010	0.503
AN	-0.639	0.036	0.612
CN	-0.718	0.020	0.633
TN	-0.654	0.072	0.637
NG	-0.811	0.091	0.905
