well	t0_t1	t0_t2	t0_t3	t1_t2	t1_t3	t2_t3	row	col	dose	strain
A1	-0.10873664988899366	-0.39580312546694657	-0.6044113591500941	-0.8103614211520785	-0.9070927740834848	-0.9779630425215765	A	1	0.0	12
A2	-0.11455909623734498	-0.3983900391738521	-0.5616639913325518	-0.8082758390728741	-0.8346864791508201	-0.8540362462658642	A	2	0.0	12
A3	-0.10881776832136722	-0.37711050663643614	-0.5830593767523218	-0.7645572822192209	-0.8726527701173952	-0.9518489770568606	A	3	0.0	12
A4	-0.3065319083080857	-0.571246106319818	-0.7025782423207719	-0.9535250420627014	-0.9444220614997662	-0.9377527587708008	A	4	7.5	12
A5	-0.31617458189513453	-0.5570640520737028	-0.6517950005984218	-0.9049372337284654	-0.8567400206198825	-0.8214283111538179	A	5	7.5	12
A6	-0.3149995067436178	-0.5437437188960209	-0.6767811293227943	-0.8740776965812278	-0.8977013646569734	-0.9150092555039842	A	6	7.5	12
A7	-0.3978916265488476	-0.6269870313781828	-0.6663509173822398	-0.9578281732570245	-0.8302843125772379	-0.7368392467316605	A	7	15.0	12
A8	-0.3940874943248371	-0.6170221059042276	-0.7651750439828352	-0.9389663261044805	-0.9917778996380782	-1.0304703223070566	A	8	15.0	12
A9	-0.39432161358494594	-0.6590286498884076	-0.7183508752396826	-1.0412972432687115	-0.9162178100762033	-0.824578308117378	A	9	15.0	12
A10	-0.4063953011886817	-0.609657294923974	-0.6208295412365749	-0.9031919040447901	-0.7517727948970583	-0.6408355177190365	A	10	30.0	12
A11	-0.40468690665464385	-0.6464312343211638	-0.5054205365576934	-0.9955389323455074	-0.5669330508352185	-0.2529147624906029	A	11	30.0	12
A12	-0.42428572939550047	-0.6352425308278568	-0.6368324541815302	-0.9398893618063362	-0.7666231055819127	-0.6396795064512811	A	12	30.0	12
B1	-0.02725533141483793	-0.28897254215093404	-0.5340640127276417	-0.6669234701225291	-0.8435443349917332	-0.9729456896272313	B	1	0.0	13
B2	-0.019997682528299466	-0.27762900193906065	-0.5409156512717157	-0.6496794145656462	-0.8590117431189799	-1.0123791660667973	B	2	0.0	13
B3	-0.03808411405034326	-0.2854378514958402	-0.5422896992984622	-0.6426462075753971	-0.8501804532724128	-1.0022305100215834	B	3	0.0	13
B4	-0.16714005283259462	-0.433219929155352	-0.6084167271291484	-0.8174710675803246	-0.87788023950461	-0.922139045989337	B	4	7.5	13
B5	-0.16787157624289192	-0.4330233974118529	-0.6269659337238604	-0.8159343132905145	-0.9073097299958576	-0.9742559693929459	B	5	7.5	13
B6	-0.1697762643606383	-0.4470873600428182	-0.5924916755491072	-0.8475577213733358	-0.8506208404673804	-0.8528650360241894	B	6	7.5	13
B7	-0.2465727232733765	-0.5140326696481514	-0.6136764557531883	-0.9002767941490446	-0.8378466123059758	-0.7921071120118507	B	7	15.0	13
B8	-0.24595784021510295	-0.5043527741640015	-0.6688958269065759	-0.8775059374369426	-0.9271609065021973	-0.9635406415136073	B	8	15.0	13
B9	-0.2580799621347837	-0.5049817827807976	-0.6919000789180288	-0.8615375169970457	-0.9568102797436135	-1.0266119114387253	B	9	15.0	13
B10	-0.2903707407856401	-0.5169111804954764	-0.6139480191100556	-0.8440626474189197	-0.8115389524653794	-0.7877104529964379	B	10	30.0	13
B11	-0.30158873890978477	-0.5489563492737323	-0.6322222050354875	-0.9061847395053699	-0.834121966071193	-0.7813251432944556	B	11	30.0	13
B12	-0.2998688607921299	-0.5571090998837976	-0.5986628612271432	-0.9285947457948236	-0.7811200032509826	-0.6730725680069841	B	12	30.0	13
C1	-0.03426145778508616	-0.25915969193294264	-0.5209234786888602	-0.5839396177784236	-0.8181013381384218	-0.9896600259571097	C	1	0.0	15
C2	-0.023985798963451526	-0.23388705511245192	-0.4734453349287321	-0.5370095525622408	-0.747905673048615	-0.9024188088466856	C	2	0.0	15
C3	-0.033214917994797026	-0.23722686043530988	-0.482107403390484	-0.5318444851066587	-0.7562214747641792	-0.9206113753131309	C	3	0.0	15
C4	-0.18165943860928074	-0.4624026226402073	-0.6095605506994778	-0.8678293296869314	-0.8708563393268692	-0.8730740792761824	C	4	7.5	15
C5	-0.18331150469886237	-0.44604278938151665	-0.6016825275640089	-0.8254581613155684	-0.8571588123168133	-0.8803843082706806	C	5	7.5	15
C6	-0.18948919133119618	-0.4605749022842766	-0.697713754689445	-0.8520550641215103	-1.008058678622508	-1.1223547956719437	C	6	7.5	15
C7	-0.28086708443128133	-0.5268814115960191	-0.6853527600788235	-0.8821554991682666	-0.9323500232795076	-0.9691250635336064	C	7	15.0	15
C8	-0.30207672018092296	-0.5338151206561678	-0.7258476376970487	-0.868473064090348	-0.9846213425580651	-1.069717430064113	C	8	15.0	15
C9	-0.310596655961714	-0.5365214459645423	-0.6926710395459073	-0.8627838411398395	-0.9259829533319883	-0.9722858107858973	C	9	15.0	15
C10	-0.3535019661089454	-0.5762206947545033	-0.5492049182918607	-0.8978531541999103	-0.6687099996821715	-0.5008281663438233	C	10	30.0	15
C11	-0.36215595416843155	-0.5817341961575141	-0.7015493514045871	-0.8988314175772715	-0.908798322907745	-0.9161005804991238	C	11	30.0	15
C12	-0.36334695331200384	-0.6185089286300438	-0.6726597753697898	-0.9869933132957619	-0.8615401860267192	-0.7696268969377119	C	12	30.0	15
D1	-0.004436950322492075	-0.19278283187444875	-0.4423297555989246	-0.4647767925007921	-0.7097269243747977	-0.8891897466529765	D	1	0.0	16
D2	-0.0003505038163931628	-0.1801896390835378	-0.452025103824397	-0.43989884150341524	-0.7278380603169602	-0.938796856123743	D	2	0.0	16
D3	-0.0032873628843281683	-0.16844051000070345	-0.42325144062591874	-0.4069413905293619	-0.6797005167982964	-0.8795376110993169	D	3	0.0	16
D4	-0.11918895841877526	-0.37537861043513704	-0.5901337203154415	-0.7453470830624113	-0.8777139099499794	-0.974692524117327	D	4	7.5	16
D5	-0.12205149419231962	-0.3693033137713673	-0.5782431293523467	-0.7263644882724065	-0.8568143919791009	-0.9523885715315409	D	5	7.5	16
D6	-0.12365089319298395	-0.3786760900070588	-0.6140262578053606	-0.7469629501677785	-0.913471653013463	-1.0354643276772821	D	6	7.5	16
D7	-0.21561350505755078	-0.4807093959028895	-0.6445728827572594	-0.863539541710468	-0.9065148962697975	-0.938000808763977	D	7	15.0	16
D8	-0.2261473626455884	-0.4714860207308965	-0.6308704401466373	-0.8257843614088	-0.8780126716654232	-0.9162777662369792	D	8	15.0	16
D9	-0.2504432340742717	-0.48540803032016183	-0.6691281249774138	-0.8247252748071439	-0.9247960717619256	-0.998112985338315	D	9	15.0	16
D10	-0.2758154544465638	-0.5176610188767194	-0.6208351207966433	-0.866914914885725	-0.8315197469022663	-0.8055874614500214	D	10	30.0	16
D11	-0.30869008659668135	-0.5318290901253911	-0.6560085410905724	-0.8540684767256598	-0.8680969112948972	-0.8783748500764736	D	11	30.0	16
D12	-0.3130987937958868	-0.5609934046588884	-0.7057773807532233	-0.91898284658865	-0.9455647011341034	-0.9650399086043686	D	12	30.0	16
E1	0.0005123134939186426	-0.0910842653801412	-0.31406953202113436	-0.22336067122714742	-0.5061674469113142	-0.7133659559930658	E	1	0.0	17
E2	0.0026621355091578564	-0.0834886687143332	-0.2883357609442139	-0.2079007251862344	-0.46603224897453266	-0.6551524238591206	E	2	0.0	17
E3	-0.0012771892725194985	-0.0788074198992977	-0.28914947087894965	-0.19077033792378348	-0.4649373169980855	-0.6658058752786131	E	3	0.0	17
E4	-0.13354708181130623	-0.3938670696130283	-0.6449032756740947	-0.7698002406967801	-0.9571605149511777	-1.0944301026148535	E	4	7.5	17
E5	-0.14170869606978484	-0.39192593831834244	-0.6072339153424815	-0.7532695375273976	-0.8915046869271046	-0.9927827301741994	E	5	7.5	17
E6	-0.14029745734379725	-0.3787733388611726	-0.6220143253510743	-0.7231610100610669	-0.9161724505922778	-1.0575823677240017	E	6	7.5	17
E7	-0.25189624113280557	-0.49021144959048535	-0.6497727702147412	-0.8343670896914651	-0.8927341893495417	-0.9354968706867292	E	7	15.0	17
E8	-0.2780242514873618	-0.5139094299305657	-0.7661698701721723	-0.854555816297766	-1.0642536815841117	-1.2178889151807777	E	8	15.0	17
E9	-0.2866606240555729	-0.5074818312237145	-0.6830302041806496	-0.8263740428985663	-0.9250714120680892	-0.9973820831711554	E	9	15.0	17
E10	-0.3484294204298321	-0.5619944458427228	-0.6475946300952093	-0.8704078639364639	-0.8302784492784513	-0.8008776159096307	E	10	30.0	17
E11	-0.3501399110139402	-0.5825203271473526	-0.6688996269405856	-0.9181054179139312	-0.8635487386216492	-0.8235777634479982	E	11	30.0	17
E12	-0.36599470419005836	-0.6376306124197135	-0.653502607009643	-1.029905324873867	-0.8290679469473793	-0.6819243533273688	E	12	30.0	17
