	gene	rho
7176	murE	-0.7106206293706293
7024	rplL	-0.6428758741258741
7128	murAA	-0.6268319971890113
7190	murE	-0.5836538461538462
6852	cdsA	-0.5449300699300699
7179	murAA	-0.4238758356681184
7252	murC	-0.3894667832167832
7164	ftsA	-0.3509178321678322
6871	rpsK	-0.3215230939981217
7182	murAA	-0.2887689903557195
7226	pbpB	-0.2861451048951049
7145	murF	-0.20843531468531468
6998	murAA	-0.1567791986832737
7101	mraY	-0.13251748251748252
7055	murAA	-0.11929410894430728
7127	murAA	-0.11796443729368356
6879	dapA	-0.11166958041958043
6898	infA	-0.08159965034965036
7214	murAA	-0.08024818071698707
6919	murAA	-0.0750691188844813
6960	rplB	-0.0715472027972028
6945	rplW	-0.06905594405594405
6854	mreC	-0.04965034965034965
6840	leuS	-0.023907342657342658
7046	murAA	-0.023117608440363573
7054	cdsA	-0.016433566433566433
7081	murB	0.014204545454545456
7061	gmk	0.015952797202797204
6853	murAA	0.021263650401767958
7052	rplC	0.027447552447552447
6911	prs	0.028277972027972026
7205	tagD	0.03794871794871794
6976	rpsL	0.03893110219414326
7204	rplD	0.04004098010757277
7082	rplB	0.04353146853146853
7268	rpsG	0.04951923076923077
7097	murAA	0.058177295717865486
6849	rplL	0.07803295483650645
7195	murAA	0.08577711772433885
7040	infC	0.08924825174825175
6902	murG	0.0943181818181818
7110	murAA	0.09967081842307228
6851	pyrG	0.1069055944055944
7236	murAA	0.1152006065817822
7232	murAA	0.11655154558147705
6994	murAA	0.11841197629152912
7138	ddl	0.1277097902097902
6839	acpA	0.13697552447552447
7030	murAA	0.14218979722044991
6954	mreB	0.14514860139860142
6934	murAA	0.1617354156842076
6900	rplM	0.16464160839160838
7129	fabD	0.16542832167832167
6859	walR	0.17884615384615385
7087	rplW	0.1845716783216783
6924	patA	0.1853583916083916
7160	murAA	0.1993185201623716
6972	murAA	0.2011447381804396
7070	murAA	0.20379167666682665
7185	cysS	0.209222027972028
7151	tufA	0.21346153846153845
7235	murAA	0.22090765347166355
6832	rpsM	0.22215909090909086
7187	murAA	0.2241966952388878
7131	rplX	0.2323426573426573
6907	secY	0.2403409090909091
7022	rplQ	0.2524912587412587
6908	murD	0.2532342657342658
7003	glmM	0.2697552447552448
7076	valS	0.2719842657342657
6850	rpsR	0.2735576923076923
