model	target	subset	gene	sprpv	prspv	sprrho	prsrho
broad	broad	train	accA	2.7103645332766643e-05	6.644329741550685e-07	0.7258119658119657	0.8061693659385673
broad	broad	train	accB	1.1239312789557584e-06	2.3444895930739505e-07	0.945054945054945	0.9588804053380771
broad	broad	train	accC	0.057634433470466075	0.07331120459534801	0.5384615384615384	0.5125318541220263
broad	broad	train	accD	0.0021122295993498776	0.022956784841402962	0.7692307692307693	0.6229082754939564
broad	broad	train	acpA	9.963379762569437e-05	1.4463072038761643e-05	0.6888888888888889	0.741768217769539
broad	broad	train	adk	0.6940473279966857	0.591887568722073	0.12087912087912088	0.1642190903558457
broad	broad	train	alaS	0.0006209883849300375	3.2717245695125065e-05	0.8186813186813187	0.8968197332715339
broad	broad	train	alrA	0.010340409451492895	6.858541343356176e-06	0.6813186813186813	0.9230625404704208
broad	broad	train	argS	0.0002789901418787838	0.0001498213299587211	0.6553846153846153	0.6761127525765288
broad	broad	train	asd	1.5265725269921555e-06	1.4598676334740994e-06	0.7907692307692307	0.7916301904447105
broad	broad	train	aspS	0.0003390695888265349	0.0018861559427680752	0.6485470085470085	0.5802723331974082
broad	broad	train	cdsA	0.5660670320654289	0.9231901679547373	-0.11794871794871793	0.019884885342517235
broad	broad	train	cmk	2.799286359668855e-07	1.9331776853059834e-08	0.8208547008547009	0.8590944569990505
broad	broad	train	coaBC	0.07803332731018388	0.00017378567205638806	0.5054945054945055	0.8582431689356504
broad	broad	train	cysS	0.08371687370692052	0.051357339081668715	0.3456410256410256	0.3861493569461172
broad	broad	train	dapA	0.14633625394610714	0.0467717803802649	0.29299145299145296	0.3934112374064052
broad	broad	train	dapB	0.3839365166506743	0.003108422570895042	0.26373626373626374	0.7506801682455022
broad	broad	train	dapF	8.719165814865028e-06	5.354088129504235e-05	0.7538461538461538	0.7071951625683593
broad	broad	train	dapG	0.23092986230203402	0.5926775713619132	0.35714285714285715	0.16387381708004484
broad	broad	train	dapL	7.942200627402079e-05	1.1064501848013993e-05	0.6957264957264957	0.7482438160187265
broad	broad	train	ddl	0.816628040676086	0.3421784289668202	-0.07142857142857142	0.28674889041881735
broad	broad	train	dfrA	0.010315046586223432	0.00039421959076330347	0.49401709401709404	0.6431472477497866
broad	broad	train	divIC	0.002335330906606249	0.00044329412786985804	0.5705982905982906	0.638871264045629
broad	broad	train	dnaA	0.15031631379039173	0.008421524447029816	0.29025641025641025	0.5055603448244137
broad	broad	train	dnaB	1.5432504523170956e-05	8.957903459839717e-08	0.7401709401709401	0.8383804781650231
broad	broad	train	dnaC	1.3423996432176846e-05	1.6714639346151287e-05	0.7435897435897435	0.7381903196697065
broad	broad	train	dnaD	1.722738670133481e-05	0.0002898192379488705	0.7374358974358974	0.6540626008264077
broad	broad	train	dnaG	0.04900449559833098	0.025776460794264513	0.5549450549450549	0.6133967948207358
broad	broad	train	dnaN	0.1875741161338378	0.16546197389749026	0.39010989010989006	0.40879761726578573
broad	broad	train	dnaX	0.00031907124069371434	3.472113205987386e-05	0.8406593406593407	0.8956546476377405
broad	broad	train	dxr	0.0010471916713445095	9.682802968013186e-06	0.6054700854700855	0.7513986884143931
broad	broad	train	dxs	0.11728306543614495	0.34806931006791303	0.45604395604395603	0.2834141727111461
broad	broad	train	engA	8.218838697506632e-06	2.4889270432208354e-06	0.7552136752136751	0.7810846931097053
broad	broad	train	eno	0.0004760790734079933	0.00019945183094689998	0.6362393162393162	0.6667693968199877
broad	broad	train	era	0.00014744785947619764	8.54520139866729e-05	0.8626373626373626	0.8762221886870936
broad	broad	train	fabD	0.0026663233910131636	0.01781664077299554	0.5644444444444444	0.46084961633676425
broad	broad	train	fabF	3.591241790078776e-05	6.968595278295627e-05	0.7182905982905983	0.6995884740830853
broad	broad	train	fabG	0.23092986230203402	0.0318039457936709	0.35714285714285715	0.5953867881124799
broad	broad	train	fabZ	1.9296152005272254e-05	3.5729080693885896e-05	0.9065934065934067	0.8950889203266109
broad	broad	train	fbaA	0.008730317796749324	0.008299517563122624	0.6923076923076923	0.6955076098191063
broad	broad	train	ffh	0.010340409451492895	0.0002888599975219108	0.6813186813186813	0.8436898941738018
broad	broad	train	fmt	0.004107709360574612	0.0018993147613625729	0.7362637362637362	0.774060248677889
broad	broad	train	ftsA	0.03789813801472913	0.013194085326237538	0.4092307692307692	0.47946702365075355
broad	broad	train	ftsL	0.030554114172937866	0.06396998745043855	0.5989010989010989	0.5274472203288045
broad	broad	train	ftsW	0.2798818688931399	0.16213137995920188	0.32417582417582413	0.41174847048791535
broad	broad	train	ftsY	0.005536115775787642	0.0016313001542076768	0.7197802197802198	0.7807817032803527
broad	broad	train	ftsZ	0.1670087887264999	0.008818920822984837	0.2793162393162393	0.502969940093377
broad	broad	train	fusA	0.0984901154163899	0.0005124484610262799	0.47802197802197804	0.825337801547638
broad	broad	train	gatA	0.0009687789139250084	0.00013450125598396832	0.8021978021978022	0.8650316107978933
broad	broad	train	gatB	0.04634590589406461	0.012229915601251409	0.5604395604395606	0.6699695051428483
broad	broad	train	gatC	1.581482043402386e-06	6.215921853160254e-08	0.79008547008547	0.8435990286955
broad	broad	train	gcaD	0.02516711655189929	0.005946770544450563	0.6153846153846153	0.7156563542814257
broad	broad	train	gcp	3.7973281387377054e-06	4.114910526680693e-06	0.7723076923076921	0.7705942950411139
broad	broad	train	glmM	0.010561158463096174	6.578637757108113e-05	0.4926495726495726	0.7012704465884824
broad	broad	train	gltX	8.218838697506632e-06	6.162638091075188e-05	0.7552136752136751	0.7031648092358849
broad	broad	train	glyS	0.0012750239017411194	6.2464021575272485e-06	0.7912087912087913	0.9243952158558946
broad	broad	train	gmk	0.17582630494762733	0.0031042867794828927	0.27384615384615385	0.5572354489951277
broad	broad	train	gpsA	3.559782183897065e-06	6.19478633323515e-06	0.7736752136752136	0.7616370440194191
broad	broad	train	gyrB	0.0011136526522685867	2.7137194517010465e-05	0.7967032967032966	0.9003972806407554
broad	broad	train	hisS	0.08582353060960755	0.021328948281659543	0.4945054945054945	0.6288000677923592
broad	broad	train	hprT	0.00018228435902982885	0.0007212835840483906	0.6697435897435897	0.6204219750185848
broad	broad	train	ileS	0.00020632690140176213	4.159055853128886e-07	0.6656410256410256	0.8142863074363961
broad	broad	train	infA	0.7615000227827016	0.20461572787364127	-0.0934065934065934	0.37663893994828473
