model	target	subset	gene	sprpv	prspv	sprrho	prsrho
broad	broad	train	accA	4.2759902458879404e-05	7.034759400744343e-07	0.7135042735042735	0.8051535167028073
broad	broad	train	accB	1.1239312789557584e-06	2.3444895930739863e-07	0.945054945054945	0.958880405338077
broad	broad	train	accC	0.057634433470466075	0.07331120459534791	0.5384615384615384	0.5125318541220264
broad	broad	train	accD	0.0021122295993498776	0.022956784841402962	0.7692307692307693	0.6229082754939564
broad	broad	train	acpA	0.0001939789151256056	7.342555674783042e-06	0.6676923076923077	0.7577985912336406
broad	broad	train	adk	0.6940473279966857	0.5918875687220722	0.12087912087912088	0.16421909035584598
broad	broad	train	alaS	0.0006209883849300375	3.271724569512525e-05	0.8186813186813187	0.8968197332715337
broad	broad	train	alrA	0.010340409451492895	6.858541343356226e-06	0.6813186813186813	0.9230625404704207
broad	broad	train	argS	0.00031380290094430436	0.00018443317409741488	0.6512820512820512	0.6693581757256709
broad	broad	train	asd	4.895733704163616e-06	1.8915259443049873e-05	0.7668376068376067	0.7350861295604292
broad	broad	train	aspS	0.0004338830669014751	0.0017567125448523873	0.6396581196581196	0.5834275528458321
broad	broad	train	cdsA	0.14437477036657703	0.7547219291219629	-0.29435897435897435	-0.06437280857290596
broad	broad	train	cmk	6.0849906939821724e-09	4.708746500003522e-09	0.8728205128205128	0.8756675754451675
broad	broad	train	coaBC	0.07803332731018388	0.00017378567205638724	0.5054945054945055	0.8582431689356506
broad	broad	train	cysS	0.23420142217199674	0.1543590733138164	0.2417094017094017	0.2875306742122691
broad	broad	train	dapA	0.13484965036938648	0.03911933116625074	0.3011965811965812	0.40688995056359667
broad	broad	train	dapB	0.3839365166506743	0.0031084225708950513	0.26373626373626374	0.750680168245502
broad	broad	train	dapF	2.196084084782418e-05	5.4675958889875794e-05	0.7312820512820513	0.7065981423704485
broad	broad	train	dapG	0.23092986230203402	0.5926775713619132	0.35714285714285715	0.1638738170800449
broad	broad	train	dapL	0.0003523567508048693	1.1777087640387556e-05	0.647179487179487	0.7467518266854396
broad	broad	train	ddl	0.816628040676086	0.34217842896682094	-0.07142857142857142	0.28674889041881707
broad	broad	train	dfrA	0.005688595687707637	0.00020726641603017356	0.5268376068376068	0.6654893987433049
broad	broad	train	divIC	0.014551757727791648	0.0042312986010388815	0.47350427350427343	0.5420409153605136
broad	broad	train	dnaA	0.0458897104380586	0.005113677321817953	0.39487179487179486	0.5323911636980226
broad	broad	train	dnaB	0.0003456573821189107	1.2886994129437255e-07	0.6478632478632478	0.8329986386809646
broad	broad	train	dnaC	9.520648889029215e-06	1.7976635163113134e-05	0.7517948717948718	0.736368655310102
broad	broad	train	dnaD	3.4460697624981923e-06	0.0005741527272147996	0.7743589743589743	0.6292135967875414
broad	broad	train	dnaG	0.04900449559833098	0.025776460794264457	0.5549450549450549	0.6133967948207361
broad	broad	train	dnaN	0.1875741161338378	0.16546197389749046	0.39010989010989006	0.4087976172657856
broad	broad	train	dnaX	0.00031907124069371434	3.472113205987367e-05	0.8406593406593407	0.8956546476377406
broad	broad	train	dxr	0.0010471916713445095	1.3753108158989047e-05	0.6054700854700855	0.7429996098249402
broad	broad	train	dxs	0.11728306543614495	0.34806931006791303	0.45604395604395603	0.2834141727111463
broad	broad	train	engA	0.0003077496880148755	1.9194732278965946e-05	0.6519658119658119	0.7347151943841005
broad	broad	train	eno	0.001381983518992488	0.00040726830170138107	0.5938461538461539	0.6419668376361357
broad	broad	train	era	0.00014744785947619764	8.54520139866729e-05	0.8626373626373626	0.8762221886870936
broad	broad	train	fabD	0.07555429353027408	0.15305882633035248	0.3545299145299145	0.28840173141006437
broad	broad	train	fabF	0.00032622243912051196	0.00018032196801317122	0.6499145299145299	0.670099067843744
broad	broad	train	fabG	0.23092986230203402	0.0318039457936709	0.35714285714285715	0.5953867881124799
broad	broad	train	fabZ	1.9296152005272254e-05	3.5729080693886485e-05	0.9065934065934067	0.8950889203266106
broad	broad	train	fbaA	0.008730317796749324	0.008299517563122636	0.6923076923076923	0.6955076098191062
broad	broad	train	ffh	0.010340409451492895	0.0002888599975219108	0.6813186813186813	0.8436898941738018
broad	broad	train	fmt	0.004107709360574612	0.001899314761362577	0.7362637362637362	0.7740602486778889
broad	broad	train	ftsA	0.31559961615801	0.08360324638341811	0.20478632478632477	0.34576014572076824
broad	broad	train	ftsL	0.030554114172937866	0.06396998745043855	0.5989010989010989	0.5274472203288045
broad	broad	train	ftsW	0.2798818688931399	0.16213137995920207	0.32417582417582413	0.41174847048791524
broad	broad	train	ftsY	0.005536115775787642	0.0016313001542076805	0.7197802197802198	0.7807817032803526
broad	broad	train	ftsZ	0.10202381378095023	0.004236127456380845	0.3278632478632478	0.5419836406692884
broad	broad	train	fusA	0.0984901154163899	0.0005124484610262833	0.47802197802197804	0.8253378015476378
broad	broad	train	gatA	0.0009687789139250084	0.00013450125598396832	0.8021978021978022	0.8650316107978933
broad	broad	train	gatB	0.04634590589406461	0.01222991560125144	0.5604395604395606	0.6699695051428481
broad	broad	train	gatC	4.382702802481682e-05	5.27067451772494e-07	0.7128205128205128	0.8102301491555544
broad	broad	train	gcaD	0.02516711655189929	0.005946770544450563	0.6153846153846153	0.7156563542814257
broad	broad	train	gcp	6.4637698058152085e-06	4.918524885576053e-06	0.7606837606837605	0.7667362307387094
broad	broad	train	glmM	0.01771974419574439	0.00016744927801699724	0.46119658119658113	0.6725189299721234
broad	broad	train	gltX	1.770414497102685e-05	6.172829319924149e-05	0.7367521367521367	0.703117068011524
broad	broad	train	glyS	0.0012750239017411194	6.246402157527197e-06	0.7912087912087913	0.9243952158558947
broad	broad	train	gmk	0.1920287480553857	0.004162032519537442	0.26427350427350427	0.5428686355825593
broad	broad	train	gpsA	0.0054702023923733625	0.0007679734616637622	0.5288888888888889	0.6179582723733995
broad	broad	train	gyrB	0.0011136526522685867	2.7137194517010465e-05	0.7967032967032966	0.9003972806407554
broad	broad	train	hisS	0.08582353060960755	0.021328948281659516	0.4945054945054945	0.6288000677923593
broad	broad	train	hprT	0.00018611179897303935	0.0007330175713016345	0.669059829059829	0.6197900650089547
broad	broad	train	ileS	0.0002476059592647499	4.1045641314092214e-07	0.6594871794871794	0.8145093221892604
broad	broad	train	infA	0.7615000227827016	0.2046157278736415	-0.0934065934065934	0.3766389399482846
broad	broad	train	infB	5.9057452171910124e-05	9.102972686200983e-06	0.8846153846153846	0.918877451981759
broad	broad	train	infC	0.00014744785947619764	0.0014448757972379256	0.8626373626373626	0.7859864408373628
broad	broad	train	iscS	0.5411235235098939	0.17613756961209628	0.1868131868131868	0.39958864951523204
broad	broad	train	ispF	0.00026601205575225274	0.01613251724522646	0.8461538461538461	0.650186487270618
broad	broad	train	leuS	0.020990657408603012	0.02574032191411758	0.4502564102564102	0.4366184489787301
broad	broad	train	ligA	0.02353816709643306	0.015501580643096091	0.6208791208791209	0.65312082398679
broad	broad	train	lysS	0.4370835438311814	0.3351172605989879	0.23626373626373626	0.29078777408575945
broad	broad	train	metS	0.04134226737172355	0.043257391468381146	0.5714285714285714	0.5671148716583971
broad	broad	train	mnaA	0.004107709360574612	0.0018968743114219418	0.7362637362637362	0.7741180029063763
broad	broad	train	mraY	0.4746359847360758	0.1874685887902716	0.14666666666666667	0.2669092980460946
broad	broad	train	mreB	0.0779982332539812	2.8228367285249903e-08	0.3517948717948718	0.854260999166541
broad	broad	train	mreC	0.09466002241869452	0.005343887363020305	0.3347008547008547	0.5301070702776713
broad	broad	train	mreD	0.0015690773751651553	6.647009718085557e-08	0.5883760683760684	0.8426552937477115
broad	broad	train	murAA	0.8445023706449684	0.3937623410244502	0.06043956043956044	0.25851696009829617
broad	broad	train	murB	0.680785475070949	0.0019511800379046985	0.12637362637362637	0.7728463213720567
broad	broad	train	murC	0.009509496050393583	0.05683174216902907	-0.6868131868131868	-0.5399173423276066
broad	broad	train	murD	0.04348203755249841	0.0006076919601782995	0.3989743589743589	0.6270502330625137
broad	broad	train	murE	0.00037314034824430757	0.00030099550641400657	-0.6451282051282051	-0.65274278047558
broad	broad	train	murF	0.16797834614789645	0.04672175921866868	0.40659340659340654	0.5596492777805222
broad	broad	train	murG	0.23831737625711377	0.0004956604568592739	0.23965811965811962	0.634741783421338
broad	broad	train	nrdF	0.0024778166524245986	0.003998462404161964	0.5678632478632477	0.5448706558571291
broad	broad	train	nrdI	0.005536115775787642	0.0006620316258752274	0.7197802197802198	0.8164034981656778
broad	broad	train	nusA	0.013165575845550252	0.0038608658020023606	0.6648351648351648	0.7395479989052671
broad	broad	train	obg	0.02516711655189929	0.02488967309040085	0.6153846153846153	0.6163014876308072
broad	broad	train	panB	3.335618050766957e-06	1.4396457685309124e-05	0.775042735042735	0.7418814411237754
broad	broad	train	parC	0.0003390695888265349	0.0007027371421723153	0.6485470085470085	0.6214391952553191
broad	broad	train	parE	0.0191181137774633	0.0047531259036624205	0.6373626373626374	0.7283440722807092
broad	broad	train	patA	0.12233188767803571	0.0506053012529307	0.4505494505494505	0.5517390492922465
broad	broad	train	pbpB	0.39428401739736163	0.23762676828170215	-0.2582417582417582	-0.35240058137981856
broad	broad	train	pcrA	7.2922030174078665e-09	6.010157433921256e-08	0.8707692307692306	0.8440705077977482
broad	broad	train	perR	4.565437440744702e-05	1.2177658943571402e-06	0.8901098901098902	0.9442317898107276
broad	broad	train	pgk	0.00031380290094430436	0.00010576096717032807	0.6512820512820512	0.6870583984039987
broad	broad	train	pgsA	0.0004502862955462125	2.0425541003257923e-06	0.8296703296703297	0.9386111703168817
broad	broad	train	pheS	0.7343037452877026	0.08435560955999637	0.1043956043956044	0.4965217373761741
broad	broad	train	pheT	0.0005302228375973583	6.849675207770278e-05	0.8241758241758241	0.8813207543705852
broad	broad	train	plsC	0.00014744785947619764	0.00024951436274325427	0.8626373626373626	0.8480398019012921
broad	broad	train	plsX	0.0035478840173657385	3.567181726047296e-05	0.5507692307692307	0.718473067416559
broad	broad	train	plsY	0.000521807494686047	0.0017762249929472104	0.6328205128205128	0.5829394071843402
broad	broad	train	polC	0.015348516732105476	5.66326958980895e-05	0.6538461538461539	0.8855294727371394
broad	broad	train	ppaC	4.607427269933694e-06	2.6562669724994923e-06	0.9285714285714285	0.9355373631888222
broad	broad	train	proS	0.000694823571998098	3.4489819149298964e-05	0.6218803418803419	0.7193856475916793
broad	broad	train	prs	0.00014744785947619764	0.0009164621604570779	0.8626373626373626	0.8043413929037517
broad	broad	train	prsA	0.003701313735752625	1.3452912919006566e-06	0.7417582417582418	0.9431918546978997
broad	broad	train	pyrG	0.027072587422029608	4.920704138459868e-05	0.43316239316239313	0.7095827804533573
broad	broad	train	pyrH	0.005023237655349916	0.0001265296267471628	0.7252747252747254	0.866598949906579
broad	broad	train	racE	0.004542195402715738	1.399807489019308e-07	0.5384615384615384	0.831747797100645
broad	broad	train	ribC	0.0001242503505790513	0.005519169110220525	0.682051282051282	0.5284230329982491
broad	broad	train	rnc	0.0003875836820057348	0.005030090354787556	0.6437606837606837	0.533242025591892
